charter,findrsLender,cert,Lender,match
15649,"Clare Bank, National Association",1022,"Clare Bank, National Association",TRUE
13731,"Classic Bank, National Association",3126,"Classic Bank, National Association",TRUE
24861,Coastal Carolina National Bank,58864,Coastal Carolina National Bank,TRUE
706809,"Colonial Savings, F.A.",31361,"Colonial Savings, F.A.",TRUE
702454,Columbia Bank,28834,Columbia Bank,TRUE
713248,Commercial Banking Company,16246,Commercial Banking Company,TRUE
15257,Commercial National Bank of Texarkana,19024,Commercial National Bank of Texarkana,TRUE
717528,Community Federal Savings Bank,57129,Community Federal Savings Bank,TRUE
24080,Community First National Bank,35585,Community First National Bank,TRUE
21389,Community National Bank & Trust,27046,Community National Bank & Trust,TRUE
14898,Community National Bank & Trust of Texas,18185,Community National Bank & Trust of Texas,TRUE
18233,Community National Bank of Okarche,25161,Community National Bank of Okarche,TRUE
21699,"Community West Bank, National Association",27572,"Community West Bank, National Association",TRUE
12898,"CommunityBank of Texas, National Association",3363,"CommunityBank of Texas, National Association",TRUE
23664,"Connecticut Community Bank, National Association",34876,"Connecticut Community Bank, National Association",TRUE
15543,Consumers National Bank,19482,Consumers National Bank,TRUE
24859,"Cornerstone Bank, National Association",58859,"Cornerstone Bank, National Association",TRUE
24114,Cornerstone National Bank & Trust Company,57061,Cornerstone National Bank & Trust Company,TRUE
14062,County National Bank,14073,County National Bank,TRUE
17828,Crockett National Bank,24561,Crockett National Bank,TRUE
23574,"Crystal Lake Bank & Trust Company, National Association",34681,"Crystal Lake Bank & Trust Company, National Association",TRUE
704877,Cullman Savings Bank,30167,Cullman Savings Bank,TRUE
10254,Cumberland Valley National Bank & Trust Company,2691,Cumberland Valley National Bank & Trust Company,TRUE
24604,"Dakota Community Bank & Trust, National Association",15728,"Dakota Community Bank & Trust, National Association",TRUE
15980,"Dallas Capital Bank, National Association",20727,"Dallas Capital Bank, National Association",TRUE
12877,DNB National Bank,3977,DNB National Bank,TRUE
24249,Douglas National Bank,57230,Douglas National Bank,TRUE
708183,"Eastern Savings Bank, FSB",32360,"Eastern Savings Bank, FSB",TRUE
704194,Eaton Federal Savings Bank,29846,Eaton Federal Savings Bank,TRUE
23329,Edison National Bank,34489,Edison National Bank,TRUE
24679,Embassy National Bank,58413,Embassy National Bank,TRUE
24777,Empire National Bank,58632,Empire National Bank,TRUE
