charter,findrsLender,cert,Lender,match
700073,"Sterling Federal Bank, F.S.B.",27664,"Sterling Federal Bank, F.S.B.",TRUE
25075,Sterling National Bank,30337,Sterling National Bank,TRUE
12044,"Stride Bank, National Association",4091,"Stride Bank, National Association",TRUE
12095,Stroud National Bank,4204,Stroud National Bank,TRUE
18154,Summit National Bank,25054,Summit National Bank,TRUE
4742,"Sunflower Bank, National Association",4767,"Sunflower Bank, National Association",TRUE
14991,"Sunrise Banks, National Association",18561,"Sunrise Banks, National Association",TRUE
9087,Superior National Bank & Trust Company,5058,Superior National Bank & Trust Company,TRUE
23253,TCF National Bank,28330,TCF National Bank,TRUE
10476,"Texana Bank, National Association",3302,"Texana Bank, National Association",TRUE
24693,"Texas Advantage Community Bank, National Association",58450,"Texas Advantage Community Bank, National Association",TRUE
23248,"Texas Capital Bank, National Association",34383,"Texas Capital Bank, National Association",TRUE
24640,"Texas Citizens Bank, National Association",58319,"Texas Citizens Bank, National Association",TRUE
10420,"Texas Gulf Bank, National Association",3206,"Texas Gulf Bank, National Association",TRUE
4701,Texas Heritage National Bank,3161,Texas Heritage National Bank,TRUE
11879,Texas National Bank,3337,Texas National Bank,TRUE
22807,Texas National Bank,34014,Texas National Bank,TRUE
18594,Texas National Bank of Jacksonville,26181,Texas National Bank of Jacksonville,TRUE
12308,"Texas Republic Bank, National Association",3400,"Texas Republic Bank, National Association",TRUE
24465,TexStar National Bank,57704,TexStar National Bank,TRUE
16799,The American National Bank of Mount Pleasant,22942,The American National Bank of Mount Pleasant,TRUE
17043,The American National Bank of Texas,23474,The American National Bank of Texas,TRUE
13770,The Bank National Association,4146,The Bank National Association,TRUE
705214,The Bank of Bennington,30350,The Bank of Bennington,TRUE
718028,The Bank of Greene County,21591,The Bank of Greene County,TRUE
9734,The Bradford National Bank of Greenville,3799,The Bradford National Bank of Greenville,TRUE
7827,The Brady National Bank,3109,The Brady National Bank,TRUE
13678,The Brenham National Bank,3113,The Brenham National Bank,TRUE
3817,The Canandaigua National Bank and Trust Company,6985,The Canandaigua National Bank and Trust Company,TRUE
12158,The Central National Bank of Poteau,4181,The Central National Bank of Poteau,TRUE
11573,The Citizens National Bank of Bluffton,6531,The Citizens National Bank of Bluffton,TRUE
4900,The Citizens National Bank of Hillsboro,3255,The Citizens National Bank of Hillsboro,TRUE
3988,The Citizens National Bank of Lebanon,2753,The Citizens National Bank of Lebanon,TRUE
7266,The Citizens National Bank of Meridian,4993,The Citizens National Bank of Meridian,TRUE
13692,The Citizens National Bank of Park Rapids,5223,The Citizens National Bank of Park Rapids,TRUE
14255,The Citizens National Bank of Quitman,14731,The Citizens National Bank of Quitman,TRUE
11544,The Citizens National Bank of Somerset,2725,The Citizens National Bank of Somerset,TRUE
13847,The Citizens National Bank of Woodsfield,6732,The Citizens National Bank of Woodsfield,TRUE
5753,"The City National Bank and Trust Company of Lawton, Oklahoma",4132,"The City National Bank and Trust Company of Lawton, Oklahoma",TRUE
8745,The City National Bank of Metropolis,3814,The City National Bank of Metropolis,TRUE
3989,The City National Bank of Sulphur Springs,5544,The City National Bank of Sulphur Springs,TRUE
5275,The City National Bank of Taylor,5548,The City National Bank of Taylor,TRUE
994,The Clinton National Bank,4439,The Clinton National Bank,TRUE
8573,The Commercial National Bank of Brady,3110,The Commercial National Bank of Brady,TRUE
10536,The Conway National Bank,2102,The Conway National Bank,TRUE
1323,The Delaware National Bank of Delhi,7025,The Delaware National Bank of Delhi,TRUE
2515,The Ephrata National Bank,7493,The Ephrata National Bank,TRUE
8606,The Falls City National Bank,3193,The Falls City National Bank,TRUE
9767,The Farmers and Merchants National Bank of Fairview,4097,The Farmers and Merchants National Bank of Fairview,TRUE
8221,The Farmers and Merchants National Bank of Nashville,3821,The Farmers and Merchants National Bank of Nashville,TRUE
2409,The Farmers National Bank of Danville,2740,The Farmers National Bank of Danville,TRUE
5481,The Farmers National Bank of Emlenton,7875,The Farmers National Bank of Emlenton,TRUE
4271,The Farmers National Bank of Lebanon,2754,The Farmers National Bank of Lebanon,TRUE
8345,The Fayette County National Bank of Fayetteville,6762,The Fayette County National Bank of Fayetteville,TRUE
12850,The First Liberty National Bank,3301,The First Liberty National Bank,TRUE
2725,The First National Bank and Trust Company,5285,The First National Bank and Trust Company,TRUE
7115,The First National Bank and Trust Company of Broken Arrow,4050,The First National Bank and Trust Company of Broken Arrow,TRUE
5252,The First National Bank and Trust Company of Miami,4148,The First National Bank and Trust Company of Miami,TRUE
324,The First National Bank and Trust Company of Newtown,7658,The First National Bank and Trust Company of Newtown,TRUE
11001,The First National Bank and Trust Company of Okmulgee,4170,The First National Bank and Trust Company of Okmulgee,TRUE
14209,The First National Bank at Paris,14534,The First National Bank at Paris,TRUE
14244,The First National Bank in Amboy,14674,The First National Bank in Amboy,TRUE
14268,The First National Bank in Carlyle,14761,The First National Bank in Carlyle,TRUE
12636,The First National Bank in Creston,4444,The First National Bank in Creston,TRUE
14072,The First National Bank in Falfurrias,14095,The First National Bank in Falfurrias,TRUE
20838,The First National Bank in Marlow,26260,The First National Bank in Marlow,TRUE
3393,The First National Bank in Sioux Falls,4016,The First National Bank in Sioux Falls,TRUE
13579,The First National Bank in Tremont,3749,The First National Bank in Tremont,TRUE
14222,The First National Bank in Trinidad,14584,The First National Bank in Trinidad,TRUE
10823,The First National Bank of Absecon,6442,The First National Bank of Absecon,TRUE
8293,The First National Bank of Allendale,12365,The First National Bank of Allendale,TRUE
9183,The First National Bank of Arenzville,3599,The First National Bank of Arenzville,TRUE
5786,The First National Bank of Aspermont,3079,The First National Bank of Aspermont,TRUE
5316,The First National Bank of Assumption,3600,The First National Bank of Assumption,TRUE
10911,The First National Bank of Ava,3761,The First National Bank of Ava,TRUE
3533,The First National Bank of Ballinger,3087,The First National Bank of Ballinger,TRUE
13202,The First National Bank of Bangor,5337,The First National Bank of Bangor,TRUE
4093,The First National Bank of Bastrop,3091,The First National Bank of Bastrop,TRUE
4241,The First National Bank of Bellville,3099,The First National Bank of Bellville,TRUE
5582,The First National Bank of Bemidji,5093,The First National Bank of Bemidji,TRUE
10397,The First National Bank of Brownstown,3770,The First National Bank of Brownstown,TRUE
7429,The First National Bank of Brundidge,2786,The First National Bank of Brundidge,TRUE
11622,The First National Bank of Buhl,5105,The First National Bank of Buhl,TRUE
4934,The First National Bank of Carmi,3777,The First National Bank of Carmi,TRUE
12395,The First National Bank of Cokato,5115,The First National Bank of Cokato,TRUE
13802,The First National Bank of Dennison,6574,The First National Bank of Dennison,TRUE
9773,The First National Bank of Dighton,4654,The First National Bank of Dighton,TRUE
9681,The First National Bank of Dozier,2794,The First National Bank of Dozier,TRUE
6487,The First National Bank of Dryden,7031,The First National Bank of Dryden,TRUE
7534,The First National Bank of Eagle Lake,3179,The First National Bank of Eagle Lake,TRUE
8575,The First National Bank of Eldorado,3184,The First National Bank of Eldorado,TRUE
6707,The First National Bank of Elmer,6464,The First National Bank of Elmer,TRUE
12739,The First National Bank of Evant,3190,The First National Bank of Evant,TRUE
7045,The First National Bank of Floydada,3197,The First National Bank of Floydada,TRUE
1950,The First National Bank of Fort Smith,3864,The First National Bank of Fort Smith,TRUE
86,The First National Bank of Germantown,6592,The First National Bank of Germantown,TRUE
9262,The First National Bank of Gilbert,5150,The First National Bank of Gilbert,TRUE
8521,The First National Bank of Gordon,5410,The First National Bank of Gordon,TRUE
3727,The First National Bank of Granbury,3228,The First National Bank of Granbury,TRUE
12982,The First National Bank of Grayson,2695,The First National Bank of Grayson,TRUE
1083,The First National Bank of Groton,7085,The First National Bank of Groton,TRUE
7592,The First National Bank of Hartford,2804,The First National Bank of Hartford,TRUE
12995,The First National Bank of Hebbronville,3248,The First National Bank of Hebbronville,TRUE
6906,The First National Bank of Henning,5162,The First National Bank of Henning,TRUE
10566,The First National Bank of Hooker,4123,The First National Bank of Hooker,TRUE
12384,The First National Bank of Hope,4690,The First National Bank of Hope,TRUE
6922,The First National Bank of Hughes Springs,3268,The First National Bank of Hughes Springs,TRUE
8489,The First National Bank of Hugo,3029,The First National Bank of Hugo,TRUE
3180,The First National Bank of Hutchinson,4697,The First National Bank of Hutchinson,TRUE
7768,The First National Bank of Jeanerette,4290,The First National Bank of Jeanerette,TRUE
11312,The First National Bank of Lawrence County at Walnut Ridge,3896,The First National Bank of Lawrence County at Walnut Ridge,TRUE
6921,The First National Bank of Le Center,5180,The First National Bank of Le Center,TRUE
6171,The First National Bank of Lindsay,4134,The First National Bank of Lindsay,TRUE
3962,The First National Bank of Litchfield,3807,The First National Bank of Litchfield,TRUE
6169,The First National Bank of Livingston,3305,The First National Bank of Livingston,TRUE
13126,The First National Bank of Long Island,7072,The First National Bank of Long Island,TRUE
11798,The First National Bank of Louisburg,4722,The First National Bank of Louisburg,TRUE
7605,The First National Bank of Manchester,2708,The First National Bank of Manchester,TRUE
5528,The First National Bank of Manchester,4951,The First National Bank of Manchester,TRUE
3455,The First National Bank of Manning,4477,The First National Bank of Manning,TRUE
9810,The First National Bank of Mertzon,3339,The First National Bank of Mertzon,TRUE
2221,The First National Bank of Middle Tennessee,4952,The First National Bank of Middle Tennessee,TRUE
9050,The First National Bank of Milaca,5198,The First National Bank of Milaca,TRUE
9784,The First National Bank of Monterey,4364,The First National Bank of Monterey,TRUE
5774,The First National Bank of Moody,3351,The First National Bank of Moody,TRUE
12947,The First National Bank of Moose Lake,5214,The First National Bank of Moose Lake,TRUE
13102,The First National Bank of Mount Dora,3579,The First National Bank of Mount Dora,TRUE
3959,"The First National Bank of Nevada, Missouri",4598,"The First National Bank of Nevada, Missouri",TRUE
8039,The First National Bank of Oneida,4958,The First National Bank of Oneida,TRUE
6837,The First National Bank of Osakis,5221,The First National Bank of Osakis,TRUE
1154,The First National Bank of Ottawa,3719,The First National Bank of Ottawa,TRUE
11343,The First National Bank of Pandora,6671,The First National Bank of Pandora,TRUE
4155,The First National Bank of Primghar,4494,The First National Bank of Primghar,TRUE
11706,The First National Bank of Quitaque,3401,The First National Bank of Quitaque,TRUE
6910,The First National Bank of Raymond,3830,The First National Bank of Raymond,TRUE
11348,The First National Bank of Russell Springs,2767,The First National Bank of Russell Springs,TRUE
9786,The First National Bank of Sandoval,3834,The First National Bank of Sandoval,TRUE
5628,The First National Bank of Shiner,5529,The First National Bank of Shiner,TRUE
5466,The First National Bank of Sonora,5531,The First National Bank of Sonora,TRUE
15000,The First National Bank of South Miami,17093,The First National Bank of South Miami,TRUE
7015,The First National Bank of Sparta,3837,The First National Bank of Sparta,TRUE
10161,The First National Bank of Spearville,4774,The First National Bank of Spearville,TRUE
9813,The First National Bank of Sterling City,5538,The First National Bank of Sterling City,TRUE
7217,The First National Bank of Stigler,4199,The First National Bank of Stigler,TRUE
11383,The First National Bank of Sycamore,6706,The First National Bank of Sycamore,TRUE
8114,The First National Bank of Syracuse,4779,The First National Bank of Syracuse,TRUE
11019,The First National Bank of Tom Bean,5557,The First National Bank of Tom Bean,TRUE
6544,The First National Bank of Waseca,5270,The First National Bank of Waseca,TRUE
5635,The First National Bank of Waverly,6725,The First National Bank of Waverly,TRUE
7899,The First National Bank of Waynesboro,2160,The First National Bank of Waynesboro,TRUE
6830,The First National Bank of Williamson,6805,The First National Bank of Williamson,TRUE
22949,"The First, A National Banking Association",34217,"The First, A National Banking Association",TRUE
14757,The Fisher National Bank,17513,The Fisher National Bank,TRUE
5842,The Home National Bank of Thorntown,14225,The Home National Bank of Thorntown,TRUE
644,The Honesdale National Bank,7526,The Honesdale National Bank,TRUE
7745,The Huntington National Bank,6560,The Huntington National Bank,TRUE
11913,The Idabel National Bank,4241,The Idabel National Bank,TRUE
7814,The Jacksboro National Bank,3275,The Jacksboro National Bank,TRUE
13111,The Lamesa National Bank,3292,The Lamesa National Bank,TRUE
13541,The Liberty National Bank in Paris,3384,The Liberty National Bank in Paris,TRUE
13479,The Lincoln National Bank of Hodgenville,2750,The Lincoln National Bank of Hodgenville,TRUE
10079,The Litchfield National Bank,3808,The Litchfield National Bank,TRUE
1027,The Lyons National Bank,7151,The Lyons National Bank,TRUE
23202,The Malvern National Bank,14644,The Malvern National Bank,TRUE
2449,The Merchants National Bank,6605,The Merchants National Bank,TRUE
6991,The Miners National Bank of Eveleth,5141,The Miners National Bank of Eveleth,TRUE
7194,The Morris County National Bank of Naples,3358,The Morris County National Bank of Naples,TRUE
715834,The Murray Bank,35161,The Murray Bank,TRUE
14788,The National Bank of Andrews,17603,The National Bank of Andrews,TRUE
12229,The National Bank of Blacksburg,6821,The National Bank of Blacksburg,TRUE
1398,The National Bank of Coxsackie,7018,The National Bank of Coxsackie,TRUE
22652,The National Bank of Indianapolis,33860,The National Bank of Indianapolis,TRUE
3147,The National Bank of Malvern,7590,The National Bank of Malvern,TRUE
16226,The National Bank of Texas at Fort Worth,21329,The National Bank of Texas at Fort Worth,TRUE
4107,The National Capital Bank of Washington,2093,The National Capital Bank of Washington,TRUE
676,The National Grand Bank of Marblehead,2608,The National Grand Bank of Marblehead,TRUE
1214,The National Iron Bank,2496,The National Iron Bank,TRUE
12471,The Neffs National Bank,7646,The Neffs National Bank,TRUE
7005,The Northumberland National Bank,7666,The Northumberland National Bank,TRUE
11780,The Old Exchange National Bank of Okawville,3827,The Old Exchange National Bank of Okawville,TRUE
12267,The Old Point National Bank of Phoebus,6892,The Old Point National Bank of Phoebus,TRUE
9179,The Park National Bank,6653,The Park National Bank,TRUE
7892,The Pauls Valley National Bank,4173,The Pauls Valley National Bank,TRUE
15733,The Pennsville National Bank,19978,The Pennsville National Bank,TRUE
10051,The Peoples National Bank of Checotah,4059,The Peoples National Bank of Checotah,TRUE
11595,The Perryton National Bank,3388,The Perryton National Bank,TRUE
5658,The Peshtigo National Bank,5317,The Peshtigo National Bank,TRUE
976,The Putnam County National Bank of Carmel,6990,The Putnam County National Bank of Carmel,TRUE
5267,The Riddell National Bank,4318,The Riddell National Bank,TRUE
8905,The Salyersville National Bank,2723,The Salyersville National Bank,TRUE
14315,The Security National Bank of Enid,14966,The Security National Bank of Enid,TRUE
3124,"The Security National Bank of Sioux City, Iowa",4506,"The Security National Bank of Sioux City, Iowa",TRUE
12543,The State National Bank of Big Spring,3103,The State National Bank of Big Spring,TRUE
12742,The State National Bank of Groom,3237,The State National Bank of Groom,TRUE
4137,The Stephenson National Bank and Trust,5306,The Stephenson National Bank and Trust,TRUE
24092,"The Tipton Latham Bank, National Association",1941,"The Tipton Latham Bank, National Association",TRUE
9803,The Turbotville National Bank,7789,The Turbotville National Bank,TRUE
22241,The University National Bank of Lawrence,32606,The University National Bank of Lawrence,TRUE
12018,The Upstate National Bank,13748,The Upstate National Bank,TRUE
2036,The Vinton County National Bank,6636,The Vinton County National Bank,TRUE
5203,The Waggoner National Bank of Vernon,5569,The Waggoner National Bank of Vernon,TRUE
8694,The Yoakum National Bank,5595,The Yoakum National Bank,TRUE
718037,Think Mutual Bank,58536,Think Mutual Bank,TRUE
22883,Thomasville National Bank,34068,Thomasville National Bank,TRUE
12437,"Titan Bank, National Association",3225,"Titan Bank, National Association",TRUE
24789,Touchmark National Bank,58687,Touchmark National Bank,TRUE
15738,Tri City National Bank,18922,Tri City National Bank,TRUE
17926,"Triad Bank, National Association",24677,"Triad Bank, National Association",TRUE
24397,"Trinity Bank, National Association",57543,"Trinity Bank, National Association",TRUE
707635,Trustco Bank,31945,Trustco Bank,TRUE
10523,Trustmark National Bank,4988,Trustmark National Bank,TRUE
23920,"UMB Bank, National Association",8273,"UMB Bank, National Association",TRUE
7236,Union National Bank,3661,Union National Bank,TRUE
24346,United Bank & Trust National Association,57391,United Bank & Trust National Association,TRUE
25160,"United Midwest Savings Bank, National Association",32441,"United Midwest Savings Bank, National Association",TRUE
23981,United National Bank,35427,United National Bank,TRUE
21008,Unity National Bank of Houston,26351,Unity National Bank of Houston,TRUE
15790,Valley National Bank,9396,Valley National Bank,TRUE
17174,"Vast Bank, National Association",23737,"Vast Bank, National Association",TRUE
13443,"VeraBank, National Association",3250,"VeraBank, National Association",TRUE
25210,"Viking Bank, National Association",32082,"Viking Bank, National Association",TRUE
23616,Virginia National Bank,34755,Virginia National Bank,TRUE
12591,"Vision Bank, National Association",4029,"Vision Bank, National Association",TRUE
25073,"Washington Federal Bank, National Association",28088,"Washington Federal Bank, National Association",TRUE
24685,"Waterford Bank, National Association",58433,"Waterford Bank, National Association",TRUE
24469,"Webster Bank, National Association",18221,"Webster Bank, National Association",TRUE
1,"Wells Fargo Bank, National Association",3511,"Wells Fargo Bank, National Association",TRUE
24185,West Texas National Bank,22957,West Texas National Bank,TRUE
24683,West Valley National Bank,58426,West Valley National Bank,TRUE
716697,"Westfield Bank, FSB",57077,"Westfield Bank, FSB",TRUE
25203,"Wheaton Bank & Trust Company, National Association",33803,"Wheaton Bank & Trust Company, National Association",TRUE
703267,WinFirst Bank,29313,WinFirst Bank,TRUE
701149,"Winter Hill Bank, FSB",28213,"Winter Hill Bank, FSB",TRUE
25142,Winter Park National Bank,59105,Winter Park National Bank,TRUE
25196,"Wintrust Bank, National Association",33935,"Wintrust Bank, National Association",TRUE
10865,"WNB Financial, National Association",5280,"WNB Financial, National Association",TRUE
16892,Woodforest National Bank,23220,Woodforest National Bank,TRUE
23926,Woodlands National Bank,1417,Woodlands National Bank,TRUE
24343,Worthington National Bank,57414,Worthington National Bank,TRUE
14688,Albany Bank and Trust Company National Association,17230,"Albany Bank and Trust Company, National Association",FALSE
20415,Bank of Desoto National Association,26542,"Bank of DeSoto, National Association",FALSE
713480,Banksouth,16418,BankSouth,FALSE
5737,"CapTex Bank, National Association",5558,"Captex Bank, National Association",FALSE
717428,Community Development Bank FSB,10568,"Community Development Bank, FSB",FALSE
715682,CornerstoneBank,35027,Cornerstone Bank,FALSE
23771,Cortrust Bank National Association,6063,CorTrust Bank National Association,FALSE
24719,Finemark National Bank & Trust,58486,FineMark National Bank & Trust,FALSE
10408,"First National Bank, Ames, Iowa",1545,"First National Bank Ames, Iowa",FALSE
704255,Home Bank SB,29881,"Home Bank, SB",FALSE
17269,Mccurtain County National Bank,23798,McCurtain County National Bank,FALSE
13838,Midamerica National Bank,3612,MidAmerica National Bank,FALSE
702518,Midcountry Bank,28865,MidCountry Bank,FALSE
714191,Midfirst Bank,4063,MidFirst Bank,FALSE
23797,"Midwest Bank, National Association",13255,Midwest Bank National Association,FALSE
13972,Minnstar Bank National Association,13809,MinnStar Bank National Association,FALSE
23645,Nebraskaland National Bank,34811,NebraskaLand National Bank,FALSE
6112,Newfirst National Bank,3183,NewFirst National Bank,FALSE
717954,"Pyramax Bank, FSB",29120,"PyraMax Bank, FSB",FALSE
700566,Riverwood Bank,27932,RiverWood Bank,FALSE
708190,"Severn Savings Bank, FSB",32367,"Severn Savings Bank, FSB d/b/a Severn Bank",FALSE
24264,"Signature Bank, National Association",57269,"Signature Bank, National Associatioin",FALSE
705329,Southfirst Bank,30433,SouthFirst Bank,FALSE
14012,"Southtrust Bank, National Association",13919,"SouthTrust Bank, National Association",FALSE
20157,Terrabank National Association,26442,"Terrabank, National Association",FALSE
3654,The Farmers' National Bank of Canfield,6540,The Farmers National Bank of Canfield,FALSE
2488,The First Central National Bank of St. Paris,15214,The First Central National Bank of St Paris,FALSE
3806,The First National Bank & Trust Co. of Iron Mountain,5062,The First National Bank & Trust Co of Iron Mountain,FALSE
13329,First National Bank in Cimarron,4638,The First National Bank in Cimarron,FALSE
3640,First National Bank of Beardstown,3607,The First National Bank of Beardstown,FALSE
6030,First National Bank of Las Animas,3034,The First National Bank of Las Animas,FALSE
4076,First National Bank of McGregor,3330,The First National Bank of McGregor d/b/a TFNB Your Bank for Life,FALSE
7087,First National Bank of River Falls,5364,The First National Bank of River Falls,FALSE
24827,The Mint National Bank,58764,The MINT National Bank,FALSE
24,U.S. Bank National Association,6548,"U.S. Bank, National Association",FALSE
717968,Westfield Bank,90300,"Westfield Bank, FSB",FALSE
