cert,rssd,asset
27811,1201925,3631549
34699,2820211,3610282
10248,1135048,3594586
23474,1895007,3584050
27677,4366003,3547356
33849,2260406,3522482
33648,,3490670
32232,3852031,3484013
3363,3594890,3425852
8879,2313544,3371491
27408,2461016,3367153
14650,1245291,3364758
27210,2233950,3358932
1536,1399765,3343297
27332,1398807,3291319
25103,3382332,3214746
15399,1130584,3196501
32296,,3168704
6985,1133503,3149346
4705,1050712,3136101
58816,4176855,3127315
11578,,3124256
9622,1085509,3077048
57082,2260406,3065427
15359,1075694,3061453
33646,,3042635
30076,,3036271
19080,1134498,3032613
5903,1097306,3025779
90213,3186585,2988667
35237,1277313,2971871
35541,3170539,2940734
12633,1094314,2925213
20369,1208120,2899395
58463,1131497,2872592
26962,2004141,2867394
24387,4097978,2853371
8152,1115013,2852610
23647,1109094,2851074
58640,,2839693
34395,2260406,2803265
32612,2398082,2785853
34147,2631510,2779841
57968,3325740,2763762
57903,3602245,2755760
57358,3063622,2745381
13012,1478017,2738267
15815,2158156,2733532
35525,3555686,2719322
19220,2942702,2702478
32779,3590388,2697701
17437,1121229,2696605
19459,1097182,2691111
17842,1138423,2686223
17323,1099917,2674223
22597,2976396,2670214
57293,,2669954
8136,1118854,2667215
3603,1206911,2658061
90211,,2654600
6540,1071191,2652881
17438,1206313,2651213
19008,1200692,2647369
8468,1025998,2640390
7074,1048812,2639917
34717,2260406,2630165
29708,3841941,2619188
58309,3447567,2612114
34953,2737814,2592339
18983,,2586279
30895,3223967,2572856
12982,1246533,2571288
21868,1246159,2550960
7514,1139541,2543417
22327,2303947,2543119
34788,,2537634
33440,2012315,2533774
58410,4389329,2528311
15614,1210066,2517173
34102,1247679,2511136
3931,2067007,2510412
57776,3386910,2507790
26247,1094314,2506921
3250,1917600,2496001
26483,5425653,2495379
27774,,2488904
6837,1076691,2478480
12773,2748995,2476950
58486,3547159,2460325
31313,3846405,2459254
9423,1125030,2429397
58210,3378764,2413081
30401,3200463,2396414
1208,1862036,2391235
18190,5301421,2390933
713,1248153,2385843
35295,2849799,2371877
24347,2325350,2362560
28332,3266227,2361151
18509,1245705,2336263
3285,1108097,2318660
6423,2611718,2317965
23622,2388878,2310656
27330,3695667,2310078
21265,,2305321
9889,1944204,2299362
58228,3488850,2289210
18266,1246935,2286522
58458,1206546,2275846
3405,5278381,2265222
29683,,2263890
34697,,2263880
33860,2149622,2256064
14028,4991076,2247931
28094,3851191,2243717
30953,,2218303
10988,2295837,2214669
28679,,2214151
33803,2260406,2207684
33664,,2205597
5304,1208009,2198566
58316,4090054,2197542
19899,1139363,2194615
90300,3866382,2188361
15229,1247428,2183370
22653,4057262,2180670
58366,3729562,2170602
57716,5069897,2167535
7506,1117464,2166601
19600,2107707,2163530
19333,1201194,2153859
11507,1249002,2150471
609,2367921,2136821
6085,1842421,2128632
30836,3954681,2109981
4256,1133932,2102777
27235,1141647,2102643
34603,3211601,2092598
58481,,2092444
10044,1202052,2089096
24516,,2079943
22221,2461463,2077377
33111,3835164,2075372
24920,5309306,2074062
1058,1094556,2072126
58823,4933272,2071394
3973,1123072,2069068
4534,1094314,2067323
12383,1860863,2064610
90290,2465519,2057059
28513,4523431,2052640
57368,3553815,2052166
29488,4843090,2049118
34618,2634696,2030324
16958,1141348,2029061
34980,2743235,2010660
22918,1988646,2007215
4536,1094314,2004030
30303,,1992781
6158,1030947,1989887
20884,4272869,1985602
17514,3202832,1985068
21031,1246467,1981059
12839,1249039,1974653
28262,3854268,1952706
34656,3472176,1944494
16470,1109290,1940800
18013,3846106,1939205
15310,1493654,1938013
34011,2260406,1937286
58604,3612543,1934218
19573,2128917,1930503
33867,2125813,1930337
17470,1205398,1922559
13879,1142475,1918538
30052,2835514,1913794
57134,3439236,1911768
32941,3122051,1905817
3276,3035227,1903073
8866,1128769,1896341
90196,2623430,1891735
32974,,1886049
23473,1064728,1868047
4789,1135824,1864899
57348,3808131,1860972
10363,2183493,1849083
57633,4347208,1846785
58328,3934562,1846406
34120,2454380,1845756
597,1133594,1836690
4972,1098796,1833341
1617,1416439,1828398
3402,3488681,1827932
30903,2523389,1825070
3304,3183959,1823542
28116,,1821924
30470,2589714,1818367
57997,,1817397
34888,3347292,1816998
18129,3297481,1809977
57815,,1804910
34073,2260406,1801658
11666,2242523,1800598
57463,3595084,1799878
12013,,1798967
90215,2465528,1798921
34351,1447376,1792869
9978,1102451,1792663
33005,1250473,1779110
57966,5163003,1775624
18012,2545831,1774161
18204,,1771185
958,1205183,1768302
1005,1401118,1765482
4028,1404687,1764874
58577,3633034,1756669
25093,2817930,1750081
22559,1133781,1746350
32647,1978713,1741890
16604,1082209,1737251
33503,2181426,1733549
35028,3121344,1729186
58536,,1723546
57244,2125813,1723099
1291,1135413,1709059
15118,,1706335
7748,2367921,1704594
32574,3818804,1695955
15995,5079476,1695336
5496,1050646,1688476
58314,2260406,1685599
57701,2260406,1679218
33216,3025385,1677785
1265,,1677196
34726,1206546,1675097
2315,3488485,1673152
58862,4647494,1671913
23992,,1669051
1399,1128358,1664804
33188,3107964,1662176
2711,1070420,1658127
58532,4360113,1646575
16250,1207486,1641944
3887,1119383,1639547
6623,2759900,1633433
5969,1134630,1631395
58243,5039724,1622339
23030,2935405,1618450
90303,3212943,1614934
7799,1143623,1613394
27552,2784920,1610310
58181,4750086,1608456
21956,1138919,1602921
58696,4875907,1599640
34940,2869733,1598845
20241,1109964,1595206
57077,3828661,1593287
253,1209211,1591527
15219,1206546,1591312
27052,2260406,1586186
21591,2728595,1581401
4832,2429838,1570843
23620,5164989,1567042
18213,3824373,1562206
35361,3162927,1559862
19531,2728577,1547323
34533,2641694,1545394
5551,1104923,1541005
8888,1053496,1539264
13292,2367921,1518723
10619,2038409,1518327
172,1082777,1512804
20231,1053272,1512016
6947,1401190,1508276
22257,1085170,1506239
57265,3823929,1504998
59093,1104231,1503230
20741,5374461,1498135
22354,2492485,1496200
17633,1094314,1493120
16216,1099672,1491952
90188,3728930,1486271
1528,1248939,1484652
23293,3367106,1484003
14521,1202762,1481359
21573,1135002,1475366
35278,2808590,1474696
3864,1491360,1467184
7593,1118368,1463733
18922,1203974,1462655
19772,1209426,1461302
24074,1030040,1454680
8675,3687046,1453396
