cert,rssd,asset,charter,findrsLender,Lender,asset_cat
27727,NA,125510,700179,Lyons Federal Bank,Lyons Federal Bank,Less than $1bn
27861,3805279,1234760,25153,"Malvern Bank, National Association","Malvern Bank, National Association",$1bn - 2.49bn
28585,3793497,88903,701899,"Maple City Savings Bank, FSB","Maple City Savings Bank, FSB",Less than $1bn
23798,2642196,272748,17269,Mccurtain County National Bank,McCurtain County National Bank,Less than $1bn
8866,1128769,1896341,14488,"Merchants Bank, National Association","Merchants Bank, National Association",$1bn - 2.49bn
30776,2390013,5852136,25195,"MetaBank, National Association","MetaBank, National Association",$2.5bn - 9.9bn
3612,1206573,426415,13838,Midamerica National Bank,MidAmerica National Bank,Less than $1bn
28865,5281989,770061,702518,Midcountry Bank,MidCountry Bank,Less than $1bn
28368,5399950,448584,701452,"Middlesex Federal Savings, F.A.","Middlesex Federal Savings, F.A.",Less than $1bn
4063,3839096,24197472,714191,Midfirst Bank,MidFirst Bank,$10bn - 99.9bn
4465,1825367,599927,10354,"Midstates Bank, National Association","Midstates Bank, National Association",Less than $1bn
13255,1064652,803374,23797,"Midwest Bank, National Association",Midwest Bank National Association,Less than $1bn
4432,1200852,291041,712423,"Midwest Heritage Bank, F.S.B.","Midwest Heritage Bank, F.S.B.",Less than $1bn
29835,NA,418260,704167,Milford Federal Bank,Milford Federal Bank,Less than $1bn
5249,1246364,205495,6417,Minnesota National Bank,Minnesota National Bank,Less than $1bn
13809,1126747,131301,13972,Minnstar Bank National Association,MinnStar Bank National Association,Less than $1bn
22398,3720000,798440,16629,"Modern Bank, National Association","Modern Bank, National Association",Less than $1bn
3210,1107522,1223366,8899,Moody National Bank,Moody National Bank,$1bn - 2.49bn
6786,1404641,148287,9610,"Mountain Valley Bank, National Association","Mountain Valley Bank, National Association",Less than $1bn
22826,2961897,135037826,21541,"MUFG Union Bank, National Association","MUFG Union Bank, National Association",$100bn and above
29999,NA,52345,704516,Mutual Savings Bank,Mutual Savings Bank,Less than $1bn
16752,3595431,82169,14617,National Bank of St. Anne,National Bank of St. Anne,Less than $1bn
10044,1202052,2089096,13879,National Exchange Bank and Trust,National Exchange Bank and Trust,$1bn - 2.49bn
3214,3059773,667049,4097,National United,National United,Less than $1bn
27026,2943419,139981,21158,"Native American Bank, National Association","Native American Bank, National Association",Less than $1bn
34811,2947350,751228,23645,Nebraskaland National Bank,NebraskaLand National Bank,Less than $1bn
29173,NA,136859,703043,New Carlisle Federal Savings Bank,New Carlisle Federal Savings Bank,Less than $1bn
58857,NA,89716,24858,"New Horizon Bank, National Association","New Horizon Bank, National Association",Less than $1bn
23086,4357252,488155,16840,"New Omni Bank, National Association","New Omni Bank, National Association",Less than $1bn
14646,1830361,695001,14240,Newfield National Bank,Newfield National Bank,Less than $1bn
3183,3213922,757783,6112,Newfirst National Bank,NewFirst National Bank,Less than $1bn
29510,5061734,645988,703575,Newton Federal Bank,Newton Federal Bank,Less than $1bn
7900,2264404,1445459,5073,"NexTier Bank, National Association","NexTier Bank, National Association",$1bn - 2.49bn
57038,3103603,3722804,24107,Nicolet National Bank,Nicolet National Bank,$2.5bn - 9.9bn
34662,2908650,132632,23547,North Georgia National Bank,North Georgia National Bank,Less than $1bn
28679,NA,2214151,702130,"North Shore Bank, FSB","North Shore Bank, FSB",$1bn - 2.49bn
27683,3849545,236374,700108,North Shore Trust and Savings,North Shore Trust and Savings,Less than $1bn
57082,2260406,3065427,25199,"Northbrook Bank & Trust Company, National Association","Northbrook Bank & Trust Company, National Association",$2.5bn - 9.9bn
58224,NA,285905,24626,Northern California National Bank,Northern California National Bank,Less than $1bn
13784,1871588,158770,6863,"Northern Interstate Bank, National Association","Northern Interstate Bank, National Association",Less than $1bn
28710,3132863,5002703,718063,Northfield Bank,Northfield Bank,$2.5bn - 9.9bn
9746,1126466,149379,24372,"Northwestern Bank, National Association","Northwestern Bank, National Association",Less than $1bn
1415,1124097,119933,714810,Northwoods Bank of Minnesota,Northwoods Bank of Minnesota,Less than $1bn
58827,NA,262033,24849,Oak View National Bank,Oak View National Bank,Less than $1bn
28359,2609975,10491688,25150,"OceanFirst Bank, National Association","OceanFirst Bank, National Association",$10bn - 99.9bn
58504,NA,447667,24730,Old Dominion National Bank,Old Dominion National Bank,Less than $1bn
58314,2260406,1685599,24646,"Old Plank Trail Community Bank, National Association","Old Plank Trail Community Bank, National Association",$1bn - 2.49bn
3603,1206911,2658061,4596,Old Second National Bank,Old Second National Bank,$2.5bn - 9.9bn
3376,3491869,273097,7748,Ozona National Bank,Ozona National Bank,Less than $1bn
26299,NA,661387,20010,Pacific National Bank,Pacific National Bank,Less than $1bn
926,1491801,376015,14418,Peoples National Bank of Kewanee,Peoples National Bank of Kewanee,Less than $1bn
27334,3650152,60206875,25103,"People's United Bank, National Association","People's United Bank, National Association",$10bn - 99.9bn
29384,NA,156998,703367,Peru Federal Savings Bank,Peru Federal Savings Bank,Less than $1bn
27619,NA,878124,700007,Piedmont Federal Savings Bank,Piedmont Federal Savings Bank,Less than $1bn
26379,3447428,258009,20493,Pike National Bank,Pike National Bank,Less than $1bn
17782,NA,91996,15058,Pikes Peak National Bank,Pikes Peak National Bank,Less than $1bn
27872,3798933,794140,700450,Pioneer Bank,Pioneer Bank,Less than $1bn
19827,1404735,540949,21060,"Pioneer Trust Bank, National Association","Pioneer Trust Bank, National Association",Less than $1bn
6384,1069778,433803038,1316,"PNC Bank, National Association","PNC Bank, National Association",$100bn and above
31189,5115468,1147532,706509,Ponce Bank,Ponce Bank,$1bn - 2.49bn
6863,1249271,324168,9924,Powell Valley National Bank,Powell Valley National Bank,Less than $1bn
32363,3917051,644318,708186,"Presidential Bank, FSB","Presidential Bank, FSB",Less than $1bn
29294,NA,785816,703235,Prevail Bank,Prevail Bank,Less than $1bn
24443,1108985,81971,17735,Progressive National Bank,Progressive National Bank,Less than $1bn
29120,5301122,448107,717954,"Pyramax Bank, FSB","PyraMax Bank, FSB",Less than $1bn
34110,2354369,513214,22905,Quantum National Bank,Quantum National Bank,Less than $1bn
32551,4121912,1436396,708433,Radius Bank,Radius Bank,$1bn - 2.49bn
3914,3640434,260126,5886,Ramsey National Bank,Ramsey National Bank,Less than $1bn
19371,2267665,865751,15482,"Relyance Bank, National Association","Relyance Bank, National Association",Less than $1bn
3701,1207945,544280,5815,"Resource Bank, National Association","Resource Bank, National Association",Less than $1bn
29922,3180060,1180610,704347,Riverview Community Bank,Riverview Community Bank,$1bn - 2.49bn
27932,3207613,454232,700566,Riverwood Bank,RiverWood Bank,Less than $1bn
17797,4299147,714217,707794,Rollstone Bank & Trust,Rollstone Bank & Trust,Less than $1bn
28208,5373398,287500,701142,San Luis Valley Federal Bank,San Luis Valley Federal Bank,Less than $1bn
29950,1239254,87569232,25022,"Santander Bank, National Association","Santander Bank, National Association",$10bn - 99.9bn
27290,1048812,687407,21530,Saratoga National Bank and Trust Company,Saratoga National Bank and Trust Company,Less than $1bn
57103,2260406,1276844,24150,"Schaumburg Bank & Trust Company, National Association","Schaumburg Bank & Trust Company, National Association",$1bn - 2.49bn
131,1085013,7352580,14838,Seacoast National Bank,Seacoast National Bank,$2.5bn - 9.9bn
432,2411619,121328,14578,Security First National Bank of Hugo,Security First National Bank of Hugo,Less than $1bn
19213,1140323,863536,15379,Security National Bank of Omaha,Security National Bank of Omaha,Less than $1bn
34394,1200348,222997,23226,Security National Bank of South Dakota,Security National Bank of South Dakota,Less than $1bn
29496,5125373,211825,703552,Seneca Savings,Seneca Savings,Less than $1bn
32367,3831465,853686,708190,"Severn Savings Bank, FSB","Severn Savings Bank, FSB d/b/a Severn Bank",Less than $1bn
4236,2996648,335744,12529,"Shamrock Bank, National Association","Shamrock Bank, National Association",Less than $1bn
57269,3076592,983266,24264,"Signature Bank, National Association","Signature Bank, National Associatioin",Less than $1bn
6861,4949303,716124,10834,Skyline National Bank,Skyline National Bank,Less than $1bn
4196,1062416,123136,9987,"SNB Bank, National Association","SNB Bank, National Association",Less than $1bn
58534,3607549,300276,24737,Solera National Bank,Solera National Bank,Less than $1bn
33555,2868129,18590797,22311,"South State Bank, National Association","South State Bank, National Association",$10bn - 99.9bn
19819,1133754,51306,15651,Southeast First National Bank,Southeast First National Bank,Less than $1bn
29749,NA,160962,704013,Southern Hills Community Bank,Southern Hills Community Bank,Less than $1bn
30433,2592376,80698,705329,Southfirst Bank,SouthFirst Bank,Less than $1bn
13919,1105685,418733,14012,"Southtrust Bank, National Association","SouthTrust Bank, National Association",Less than $1bn
4801,1131451,450318,12346,Southwest National Bank,Southwest National Bank,Less than $1bn
34319,3234682,616339,23081,Southwestern National Bank,Southwestern National Bank,Less than $1bn
27052,2260406,1586186,25211,"St. Charles Bank & Trust Company, National Association","St. Charles Bank & Trust Company, National Association",$1bn - 2.49bn
18937,NA,21793,15198,St. Martin National Bank,St. Martin National Bank,Less than $1bn
5744,2260406,1332177,25200,"State Bank of the Lakes, National Association","State Bank of the Lakes, National Association",$1bn - 2.49bn
10988,2295837,2214669,15576,Stearns Bank National Association,Stearns Bank National Association,$1bn - 2.49bn
27664,NA,461938,700073,"Sterling Federal Bank, F.S.B.","Sterling Federal Bank, F.S.B.",Less than $1bn
30337,3083291,30259156,25075,Sterling National Bank,Sterling National Bank,$10bn - 99.9bn
4091,1051465,794938,12044,"Stride Bank, National Association","Stride Bank, National Association",Less than $1bn
4204,1141058,75434,12095,Stroud National Bank,Stroud National Bank,Less than $1bn
25054,3402511,85943,18154,Summit National Bank,Summit National Bank,Less than $1bn
4767,1066713,4311441,4742,"Sunflower Bank, National Association","Sunflower Bank, National Association",$2.5bn - 9.9bn
18561,1139103,1155654,14991,"Sunrise Banks, National Association","Sunrise Banks, National Association",$1bn - 2.49bn
5058,1495854,554454,9087,Superior National Bank & Trust Company,Superior National Bank & Trust Company,Less than $1bn
28330,1201934,48562805,23253,TCF National Bank,TCF National Bank,$10bn - 99.9bn
26442,NA,479123,20157,Terrabank National Association,"Terrabank, National Association",Less than $1bn
3302,1104071,218804,10476,"Texana Bank, National Association","Texana Bank, National Association",Less than $1bn
58450,NA,119629,24693,"Texas Advantage Community Bank, National Association","Texas Advantage Community Bank, National Association",Less than $1bn
34383,2706735,35847732,23248,"Texas Capital Bank, National Association","Texas Capital Bank, National Association",$10bn - 99.9bn
58319,4895606,516766,24640,"Texas Citizens Bank, National Association","Texas Citizens Bank, National Association",Less than $1bn
3206,1101726,610629,10420,"Texas Gulf Bank, National Association","Texas Gulf Bank, National Association",Less than $1bn
3161,3220836,161575,4701,Texas Heritage National Bank,Texas Heritage National Bank,Less than $1bn
26181,2716471,571361,18594,Texas National Bank of Jacksonville,Texas National Bank of Jacksonville,Less than $1bn
3400,4215745,318432,12308,"Texas Republic Bank, National Association","Texas Republic Bank, National Association",Less than $1bn
57704,4091819,307837,24465,TexStar National Bank,TexStar National Bank,Less than $1bn
22942,4552356,108641,16799,The American National Bank of Mount Pleasant,The American National Bank of Mount Pleasant,Less than $1bn
23474,1895007,3584050,17043,The American National Bank of Texas,The American National Bank of Texas,$2.5bn - 9.9bn
4146,1056684,394235,13770,The Bank National Association,The Bank National Association,Less than $1bn
30350,3846003,426491,705214,The Bank of Bennington,The Bank of Bennington,Less than $1bn
21591,2728595,1581401,718028,The Bank of Greene County,The Bank of Greene County,$1bn - 2.49bn
3799,2456919,392528,9734,The Bradford National Bank of Greenville,The Bradford National Bank of Greenville,Less than $1bn
3109,1106990,143769,7827,The Brady National Bank,The Brady National Bank,Less than $1bn
3113,1108789,380093,13678,The Brenham National Bank,The Brenham National Bank,Less than $1bn
6985,1133503,3149346,3817,The Canandaigua National Bank and Trust Company,The Canandaigua National Bank and Trust Company,$2.5bn - 9.9bn
4181,1067411,258642,12158,The Central National Bank of Poteau,The Central National Bank of Poteau,Less than $1bn
6531,3248821,876519,11573,The Citizens National Bank of Bluffton,The Citizens National Bank of Bluffton,Less than $1bn
3255,3220274,176484,4900,The Citizens National Bank of Hillsboro,The Citizens National Bank of Hillsboro,Less than $1bn
2753,1098639,128948,3988,The Citizens National Bank of Lebanon,The Citizens National Bank of Lebanon,Less than $1bn
4993,3186576,1437919,7266,The Citizens National Bank of Meridian,The Citizens National Bank of Meridian,$1bn - 2.49bn
5223,1124613,268155,13692,The Citizens National Bank of Park Rapids,The Citizens National Bank of Park Rapids,Less than $1bn
14731,NA,104539,14255,The Citizens National Bank of Quitman,The Citizens National Bank of Quitman,Less than $1bn
2725,1070484,462251,11544,The Citizens National Bank of Somerset,The Citizens National Bank of Somerset,Less than $1bn
6732,2376969,136537,13847,The Citizens National Bank of Woodsfield,The Citizens National Bank of Woodsfield,Less than $1bn
4132,4208961,360461,5753,"The City National Bank and Trust Company of Lawton, Oklahoma","The City National Bank and Trust Company of Lawton, Oklahoma",Less than $1bn
3814,1129672,395755,8745,The City National Bank of Metropolis,The City National Bank of Metropolis,Less than $1bn
5544,1131666,783869,3989,The City National Bank of Sulphur Springs,The City National Bank of Sulphur Springs,Less than $1bn
5548,1109825,193964,5275,The City National Bank of Taylor,The City National Bank of Taylor,Less than $1bn
4439,1234491,411287,994,The Clinton National Bank,The Clinton National Bank,Less than $1bn
3110,1103207,149304,8573,The Commercial National Bank of Brady,The Commercial National Bank of Brady,Less than $1bn
2102,1134108,1269801,10536,The Conway National Bank,The Conway National Bank,$1bn - 2.49bn
7025,2263331,302235,1323,The Delaware National Bank of Delhi,The Delaware National Bank of Delhi,Less than $1bn
7493,1116681,1177411,2515,The Ephrata National Bank,The Ephrata National Bank,$1bn - 2.49bn
3193,NA,438760,8606,The Falls City National Bank,The Falls City National Bank,Less than $1bn
4097,1065211,114750,9767,The Farmers and Merchants National Bank of Fairview,The Farmers and Merchants National Bank of Fairview,Less than $1bn
3821,2931331,189722,8221,The Farmers and Merchants National Bank of Nashville,The Farmers and Merchants National Bank of Nashville,Less than $1bn
6540,1071191,2652881,3654,The Farmers' National Bank of Canfield,The Farmers National Bank of Canfield,$2.5bn - 9.9bn
2740,1119244,660965,2409,The Farmers National Bank of Danville,The Farmers National Bank of Danville,Less than $1bn
7875,1480944,938806,5481,The Farmers National Bank of Emlenton,The Farmers National Bank of Emlenton,Less than $1bn
2754,1098451,98549,4271,The Farmers National Bank of Lebanon,The Farmers National Bank of Lebanon,Less than $1bn
6762,2355759,102085,8345,The Fayette County National Bank of Fayetteville,The Fayette County National Bank of Fayetteville,Less than $1bn
15214,2024318,96811,2488,The First Central National Bank of St. Paris,The First Central National Bank of St Paris,Less than $1bn
3301,1233627,354097,12850,The First Liberty National Bank,The First Liberty National Bank,Less than $1bn
5062,1416671,321996,3806,The First National Bank & Trust Co. of Iron Mountain,The First National Bank & Trust Co of Iron Mountain,Less than $1bn
5285,1209042,1160856,2725,The First National Bank and Trust Company,The First National Bank and Trust Company,$1bn - 2.49bn
4050,1062050,190933,7115,The First National Bank and Trust Company of Broken Arrow,The First National Bank and Trust Company of Broken Arrow,Less than $1bn
4148,1061316,132861,5252,The First National Bank and Trust Company of Miami,The First National Bank and Trust Company of Miami,Less than $1bn
7658,1117491,984330,324,The First National Bank and Trust Company of Newtown,The First National Bank and Trust Company of Newtown,Less than $1bn
4170,1056330,260295,11001,The First National Bank and Trust Company of Okmulgee,The First National Bank and Trust Company of Okmulgee,Less than $1bn
14534,1099805,187557,14209,The First National Bank at Paris,The First National Bank at Paris,Less than $1bn
14674,1491753,209685,14244,The First National Bank in Amboy,The First National Bank in Amboy,Less than $1bn
14761,1099618,202099,14268,The First National Bank in Carlyle,The First National Bank in Carlyle,Less than $1bn
4444,1978713,252997,12636,The First National Bank in Creston,The First National Bank in Creston,Less than $1bn
14095,NA,80834,14072,The First National Bank in Falfurrias,The First National Bank in Falfurrias,Less than $1bn
26260,2096164,58429,20838,The First National Bank in Marlow,The First National Bank in Marlow,Less than $1bn
4016,1126354,1270755,3393,The First National Bank in Sioux Falls,The First National Bank in Sioux Falls,$1bn - 2.49bn
3749,1492497,120747,13579,The First National Bank in Tremont,The First National Bank in Tremont,Less than $1bn
14584,1054073,210488,14222,The First National Bank in Trinidad,The First National Bank in Trinidad,Less than $1bn
6442,2579612,147119,10823,The First National Bank of Absecon,The First National Bank of Absecon,Less than $1bn
12365,2227409,255100,8293,The First National Bank of Allendale,The First National Bank of Allendale,Less than $1bn
3599,2734073,91109,9183,The First National Bank of Arenzville,The First National Bank of Arenzville,Less than $1bn
3079,5325212,58913,5786,The First National Bank of Aspermont,The First National Bank of Aspermont,Less than $1bn
3600,NA,20075,5316,The First National Bank of Assumption,The First National Bank of Assumption,Less than $1bn
3761,1134603,65734,10911,The First National Bank of Ava,The First National Bank of Ava,Less than $1bn
3087,1106990,190489,3533,The First National Bank of Ballinger,The First National Bank of Ballinger,Less than $1bn
5337,1124163,226254,13202,The First National Bank of Bangor,The First National Bank of Bangor,Less than $1bn
3091,2410304,634863,4093,The First National Bank of Bastrop,The First National Bank of Bastrop,Less than $1bn
3099,2112439,765358,4241,The First National Bank of Bellville,The First National Bank of Bellville,Less than $1bn
5093,1248546,734212,5582,The First National Bank of Bemidji,The First National Bank of Bemidji,Less than $1bn
3770,2199083,43718,10397,The First National Bank of Brownstown,The First National Bank of Brownstown,Less than $1bn
5105,3288911,26036,11622,The First National Bank of Buhl,The First National Bank of Buhl,Less than $1bn
3777,1098929,426794,4934,The First National Bank of Carmi,The First National Bank of Carmi,Less than $1bn
5115,1125320,68665,12395,The First National Bank of Cokato,The First National Bank of Cokato,Less than $1bn
6574,1417267,231959,13802,The First National Bank of Dennison,The First National Bank of Dennison,Less than $1bn
4654,1066946,59148,9773,The First National Bank of Dighton,The First National Bank of Dighton,Less than $1bn
2794,3013793,34708,9681,The First National Bank of Dozier,The First National Bank of Dozier,Less than $1bn
7031,NA,190370,6487,The First National Bank of Dryden,The First National Bank of Dryden,Less than $1bn
3179,2723648,119119,7534,The First National Bank of Eagle Lake,The First National Bank of Eagle Lake,Less than $1bn
3184,2234863,61607,8575,The First National Bank of Eldorado,The First National Bank of Eldorado,Less than $1bn
6464,2947985,286075,6707,The First National Bank of Elmer,The First National Bank of Elmer,Less than $1bn
3190,NA,104350,12739,The First National Bank of Evant,The First National Bank of Evant,Less than $1bn
3197,1104941,108223,7045,The First National Bank of Floydada,The First National Bank of Floydada,Less than $1bn
3864,1491360,1467184,1950,The First National Bank of Fort Smith,The First National Bank of Fort Smith,$1bn - 2.49bn
6592,NA,65980,86,The First National Bank of Germantown,The First National Bank of Germantown,Less than $1bn
5150,NA,48552,9262,The First National Bank of Gilbert,The First National Bank of Gilbert,Less than $1bn
5410,1050794,213649,8521,The First National Bank of Gordon,The First National Bank of Gordon,Less than $1bn
3228,1105528,634457,3727,The First National Bank of Granbury,The First National Bank of Granbury,Less than $1bn
2695,1823747,261231,12982,The First National Bank of Grayson,The First National Bank of Grayson,Less than $1bn
7085,NA,192390,1083,The First National Bank of Groton,The First National Bank of Groton,Less than $1bn
2804,1084052,122888,7592,The First National Bank of Hartford,The First National Bank of Hartford,Less than $1bn
3248,3828241,90357,12995,The First National Bank of Hebbronville,The First National Bank of Hebbronville,Less than $1bn
5162,1125290,219683,6906,The First National Bank of Henning,The First National Bank of Henning,Less than $1bn
4123,1140060,76419,10566,The First National Bank of Hooker,The First National Bank of Hooker,Less than $1bn
4690,1472079,88303,12384,The First National Bank of Hope,The First National Bank of Hope,Less than $1bn
3268,1838068,274633,6922,The First National Bank of Hughes Springs,The First National Bank of Hughes Springs,Less than $1bn
3029,1998702,123959,8489,The First National Bank of Hugo,The First National Bank of Hugo,Less than $1bn
4697,1139354,748749,3180,The First National Bank of Hutchinson,The First National Bank of Hutchinson,Less than $1bn
4290,1085303,280803,7768,The First National Bank of Jeanerette,The First National Bank of Jeanerette,Less than $1bn
3896,3288425,236127,11312,The First National Bank of Lawrence County at Walnut Ridge,The First National Bank of Lawrence County at Walnut Ridge,Less than $1bn
5180,1126934,138213,6921,The First National Bank of Le Center,The First National Bank of Le Center,Less than $1bn
4134,1917897,68820,6171,The First National Bank of Lindsay,The First National Bank of Lindsay,Less than $1bn
3807,1099346,102522,3962,The First National Bank of Litchfield,The First National Bank of Litchfield,Less than $1bn
3305,2504285,378804,6169,The First National Bank of Livingston,The First National Bank of Livingston,Less than $1bn
7072,1048894,4092930,13126,The First National Bank of Long Island,The First National Bank of Long Island,$2.5bn - 9.9bn
4722,NA,130569,11798,The First National Bank of Louisburg,The First National Bank of Louisburg,Less than $1bn
2708,1427220,145956,7605,The First National Bank of Manchester,The First National Bank of Manchester,Less than $1bn
4477,1491838,65190,3455,The First National Bank of Manning,The First National Bank of Manning,Less than $1bn
3339,NA,500167,9810,The First National Bank of Mertzon,The First National Bank of Mertzon,Less than $1bn
4952,1086449,548018,2221,The First National Bank of Middle Tennessee,The First National Bank of Middle Tennessee,Less than $1bn
5198,3342411,215543,9050,The First National Bank of Milaca,The First National Bank of Milaca,Less than $1bn
4364,NA,328120,9784,The First National Bank of Monterey,The First National Bank of Monterey,Less than $1bn
3351,3147353,47307,5774,The First National Bank of Moody,The First National Bank of Moody,Less than $1bn
5214,2992396,113491,12947,The First National Bank of Moose Lake,The First National Bank of Moose Lake,Less than $1bn
3579,5113763,251346,13102,The First National Bank of Mount Dora,The First National Bank of Mount Dora,Less than $1bn
4598,2090751,99855,3959,"The First National Bank of Nevada, Missouri","The First National Bank of Nevada, Missouri",Less than $1bn
4958,NA,230820,8039,The First National Bank of Oneida,The First National Bank of Oneida,Less than $1bn
5221,1127016,70901,6837,The First National Bank of Osakis,The First National Bank of Osakis,Less than $1bn
3719,2791816,565049,1154,The First National Bank of Ottawa,The First National Bank of Ottawa,Less than $1bn
6671,1139149,194338,11343,The First National Bank of Pandora,The First National Bank of Pandora,Less than $1bn
4494,NA,32138,4155,The First National Bank of Primghar,The First National Bank of Primghar,Less than $1bn
3401,3141034,73584,11706,The First National Bank of Quitaque,The First National Bank of Quitaque,Less than $1bn
3830,1131303,149412,6910,The First National Bank of Raymond,The First National Bank of Raymond,Less than $1bn
2767,1099140,235062,11348,The First National Bank of Russell Springs,The First National Bank of Russell Springs,Less than $1bn
3834,1139523,57310,9786,The First National Bank of Sandoval,The First National Bank of Sandoval,Less than $1bn
5529,2112439,884747,5628,The First National Bank of Shiner,The First National Bank of Shiner,Less than $1bn
5531,2184333,456577,5466,The First National Bank of Sonora,The First National Bank of Sonora,Less than $1bn
17093,1250370,807430,15000,The First National Bank of South Miami,The First National Bank of South Miami,Less than $1bn
3837,1099421,81168,7015,The First National Bank of Sparta,The First National Bank of Sparta,Less than $1bn
4774,3391642,40428,10161,The First National Bank of Spearville,The First National Bank of Spearville,Less than $1bn
5538,2940810,201200,9813,The First National Bank of Sterling City,The First National Bank of Sterling City,Less than $1bn
4199,1142288,116542,7217,The First National Bank of Stigler,The First National Bank of Stigler,Less than $1bn
6706,4226693,155003,11383,The First National Bank of Sycamore,The First National Bank of Sycamore,Less than $1bn
4779,4442699,383414,8114,The First National Bank of Syracuse,The First National Bank of Syracuse,Less than $1bn
5557,NA,114680,11019,The First National Bank of Tom Bean,The First National Bank of Tom Bean,Less than $1bn
5270,1122534,138134,6544,The First National Bank of Waseca,The First National Bank of Waseca,Less than $1bn
6725,3015612,163886,5635,The First National Bank of Waverly,The First National Bank of Waverly,Less than $1bn
2160,1137752,150936,7899,The First National Bank of Waynesboro,The First National Bank of Waynesboro,Less than $1bn
6805,NA,89405,6830,The First National Bank of Williamson,The First National Bank of Williamson,Less than $1bn
34217,2385493,4053820,22949,"The First, A National Banking Association","The First, A National Banking Association",$2.5bn - 9.9bn
17513,2616179,134607,14757,The Fisher National Bank,The Fisher National Bank,Less than $1bn
14225,1133183,118387,5842,The Home National Bank of Thorntown,The Home National Bank of Thorntown,Less than $1bn
7526,1144107,701224,644,The Honesdale National Bank,The Honesdale National Bank,Less than $1bn
6560,1068191,113764077,7745,The Huntington National Bank,The Huntington National Bank,$100bn and above
4241,2107499,132025,11913,The Idabel National Bank,The Idabel National Bank,Less than $1bn
3275,1104503,240571,7814,The Jacksboro National Bank,The Jacksboro National Bank,Less than $1bn
3292,NA,379839,13111,The Lamesa National Bank,The Lamesa National Bank,Less than $1bn
3384,2465283,310617,13541,The Liberty National Bank in Paris,The Liberty National Bank in Paris,Less than $1bn
2750,1118911,326284,13479,The Lincoln National Bank of Hodgenville,The Lincoln National Bank of Hodgenville,Less than $1bn
3808,1248489,111817,10079,The Litchfield National Bank,The Litchfield National Bank,Less than $1bn
7151,1246476,1213742,1027,The Lyons National Bank,The Lyons National Bank,$1bn - 2.49bn
14644,1099980,582042,23202,The Malvern National Bank,The Malvern National Bank,Less than $1bn
6605,2485487,966632,2449,The Merchants National Bank,The Merchants National Bank,Less than $1bn
5141,NA,67268,6991,The Miners National Bank of Eveleth,The Miners National Bank of Eveleth,Less than $1bn
58764,5005626,246182,24827,The Mint National Bank,The MINT National Bank,Less than $1bn
3358,1103515,88496,7194,The Morris County National Bank of Naples,The Morris County National Bank of Naples,Less than $1bn
35161,3832592,317091,715834,The Murray Bank,The Murray Bank,Less than $1bn
17603,2348087,221405,14788,The National Bank of Andrews,The National Bank of Andrews,Less than $1bn
6821,1139925,1315650,12229,The National Bank of Blacksburg,The National Bank of Blacksburg,$1bn - 2.49bn
7018,5333404,333943,1398,The National Bank of Coxsackie,The National Bank of Coxsackie,Less than $1bn
33860,2149622,2256064,22652,The National Bank of Indianapolis,The National Bank of Indianapolis,$1bn - 2.49bn
7590,2409755,164134,3147,The National Bank of Malvern,The National Bank of Malvern,Less than $1bn
21329,1133026,303463,16226,The National Bank of Texas at Fort Worth,The National Bank of Texas at Fort Worth,Less than $1bn
2093,NA,532284,4107,The National Capital Bank of Washington,The National Capital Bank of Washington,Less than $1bn
2608,1115406,354580,676,The National Grand Bank of Marblehead,The National Grand Bank of Marblehead,Less than $1bn
2496,2606693,142669,1214,The National Iron Bank,The National Iron Bank,Less than $1bn
7646,1140097,379423,12471,The Neffs National Bank,The Neffs National Bank,Less than $1bn
7666,2575726,543964,7005,The Northumberland National Bank,The Northumberland National Bank,Less than $1bn
3827,1248377,71438,11780,The Old Exchange National Bank of Okawville,The Old Exchange National Bank of Okawville,Less than $1bn
6892,1076673,1058955,12267,The Old Point National Bank of Phoebus,The Old Point National Bank of Phoebus,$1bn - 2.49bn
6653,1142336,8685697,9179,The Park National Bank,The Park National Bank,$2.5bn - 9.9bn
4173,1062715,252948,7892,The Pauls Valley National Bank,The Pauls Valley National Bank,Less than $1bn
19978,1132757,203465,15733,The Pennsville National Bank,The Pennsville National Bank,Less than $1bn
4059,1066852,141749,10051,The Peoples National Bank of Checotah,The Peoples National Bank of Checotah,Less than $1bn
3388,2454773,184232,11595,The Perryton National Bank,The Perryton National Bank,Less than $1bn
5317,1210310,213068,5658,The Peshtigo National Bank,The Peshtigo National Bank,Less than $1bn
6990,NA,155811,976,The Putnam County National Bank of Carmel,The Putnam County National Bank of Carmel,Less than $1bn
4318,1141478,245639,5267,The Riddell National Bank,The Riddell National Bank,Less than $1bn
2723,2896207,114147,8905,The Salyersville National Bank,The Salyersville National Bank,Less than $1bn
14966,1064504,340221,14315,The Security National Bank of Enid,The Security National Bank of Enid,Less than $1bn
4506,1200348,1098686,3124,"The Security National Bank of Sioux City, Iowa","The Security National Bank of Sioux City, Iowa",$1bn - 2.49bn
3103,1110278,427401,12543,The State National Bank of Big Spring,The State National Bank of Big Spring,Less than $1bn
3237,1103234,36513,12742,The State National Bank of Groom,The State National Bank of Groom,Less than $1bn
5306,1245509,545386,4137,The Stephenson National Bank and Trust,The Stephenson National Bank and Trust,Less than $1bn
1941,1097744,140484,24092,"The Tipton Latham Bank, National Association","The Tipton Latham Bank, National Association",Less than $1bn
